атом_имя|макс_громкость_конкурента_dB|макс_громкость_наш_dB|статус
crossfade--film-burn-с-растворением--07ba90f5.mp4|-4.7|-22.5|✓
crossfade--кроссфейд-растворение--87aa8480.mp4|-3.8|-30.5|✓
grid-lines--переход-через-сетку--ca80b3b0.mp4|-3.2|-29.0|✓
hard-cut--прямая-жесткая-склейка--d50f9c4d.mp4|-5.7|-28.9|✓
hard-cut--световой-переход-со-склейкой--7fa9d360.mp4|-3.8|-30.6|✓
inset-window--прямая-склейка--6a2ecd70.mp4|-3.4|-29.9|✓
keyframes-motion--ключевая-анимация-объекта--75d2fe85.mp4|-4.7|-30.0|✓
light-glow--film-burn-light-leak--234963b2.mp4|-5.0|-30.0|✓
light-glow--световая-вспышка--145d67dc.mp4|-6.9|-29.4|✓
light-glow--световой-переход-wash--e393c129.mp4|-7.1|-30.4|✓
light-glow--световой-стингер--26bcd244.mp4|-4.8|-30.5|✓
other--переход-через-красную-заливку--1c489052.mp4|-3.4|-29.9|✓
other--черная-пауза-экран--5f9f2769.mp4|-3.5|-30.9|✓
